YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2015,201510444054,107.77342,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444056,49.280305,2,2,4,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510444059,49.280305,2,2,4,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2015,201510444060,98.56061,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444061,197.12122,3,1,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510444063,49.280305,2,2,1,2,2,5,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510444065,98.56061,3,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444067,49.280305,2,2,4,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444069,98.56061,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444071,197.12122,3,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444075,49.280305,2,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444077,115.047462,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444079,115.047462,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444082,230.094924,3,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444084,89.85326,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1
2015,201510444085,179.70652,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444087,89.85326,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2015,201510444088,89.85326,2,2,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444089,89.85326,2,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2
2015,201510444090,89.85326,2,2,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444091,179.70652,3,2,3,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444131,217.168,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444132,27.146,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2015,201510444133,54.292,2,2,4,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2
2015,201510444134,108.584,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444139,108.584,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2015,201510444150,54.292,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2015,201510444157,217.168,3,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444164,107.77342,3,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2015,201510444166,215.54684,3,2,1,1,1,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444170,98.56061,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444173,197.12122,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444178,197.12122,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444179,49.280305,2,2,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444180,49.280305,2,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444182,98.56061,3,2,4,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444205,179.70652,3,2,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444207,89.85326,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444208,179.70652,3,2,4,2,3,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510444210,89.85326,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444211,89.85326,3,2,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444212,89.85326,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444218,108.584,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444222,108.584,3,2,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444223,217.168,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444225,54.292,2,2,1,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444231,108.584,3,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444236,217.168,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2015,201510444238,179.70652,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444240,179.70652,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444242,89.85326,3,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444243,179.70652,3,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444261,217.168,3,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444276,27.146,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444277,108.584,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1
2015,201510444280,217.168,3,2,3,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1
2015,201510444286,215.54684,2,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444287,107.77342,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444291,107.77342,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2015,201510444293,215.54684,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444299,197.12122,3,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2015,201510444303,197.12122,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444308,98.56061,3,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444309,197.12122,3,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444313,197.12122,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444318,197.12122,3,2,4,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444320,98.56061,3,2,1,1,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444321,49.280305,3,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444325,115.047462,3,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444330,230.094924,3,2,1,2,3,6,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2015,201510444332,57.523731,2,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510444333,115.047462,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444336,57.523731,2,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444338,115.047462,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510444340,115.047462,3,2,1,2,2,5,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444342,115.047462,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444344,115.047462,3,2,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444345,230.094924,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444349,230.094924,3,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2015,201510444351,57.523731,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2015,201510444352,57.523731,2,2,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2015,201510444355,89.85326,3,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444356,179.70652,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444357,89.85326,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444359,179.70652,3,2,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444361,179.70652,3,2,4,2,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444382,54.292,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444393,54.292,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444394,217.168,3,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444395,108.584,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444400,107.77342,3,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444402,215.54684,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1
2015,201510444404,197.12122,3,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444406,49.280305,2,2,4,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2015,201510444411,89.85326,2,2,1,1,1,2,1,1,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2015,201510444412,89.85326,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,201510444413,179.70652,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
